4200167786,NNX06AE65G,HQ,IMPACTS OF SOIL FREEZE/THAW DYNAMICS ON THE NORTH AMERICAN CARBON CYCLE,TINGJUN ZHANG,DIANE WICKLAND,REGENTS OF THE UNIVERSITY OF COLORADO,9/22/06,8/15/06,8/14/09,AWARDED,NO,2012GeoJI.188..994L,"http://labs.adsabs.harvard.edu/adsabs/api/record/2012GeoJI.188..994L?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Constraining ice mass loss from Jakobshavn Isbr&#230; (Greenland) using InSAR-measured crustal uplift,Geophysical Journal International,"Liu, Lin; Wahr, John; Howat, Ian; Khan, Shfaqat Abbas; Joughin, Ian; Furuya, Masato",PI not found,REFEREED; ARTICLE,space science; space science; Space geodetic surveys; Radar interferometry; Glaciology; Kinematics of crustal and mantle deformation; Arctic region
4200167786,NNX06AE65G,HQ,IMPACTS OF SOIL FREEZE/THAW DYNAMICS ON THE NORTH AMERICAN CARBON CYCLE,TINGJUN ZHANG,DIANE WICKLAND,REGENTS OF THE UNIVERSITY OF COLORADO,9/22/06,8/15/06,8/14/09,AWARDED,NO,2011TellB..63..165S,"http://labs.adsabs.harvard.edu/adsabs/api/record/2011TellB..63..165S?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Amount and timing of permafrost carbon release in response to climate warming,Tellus Series B Chemical and Physical Meteorology B,"Schaefer, Kevin; Zhang, Tingjun; Bruhwiler, Lori; Barrett, Andrew P.",PI in authors,REFEREED; ARTICLE,no keywords
4200167786,NNX06AE65G,HQ,IMPACTS OF SOIL FREEZE/THAW DYNAMICS ON THE NORTH AMERICAN CARBON CYCLE,TINGJUN ZHANG,DIANE WICKLAND,REGENTS OF THE UNIVERSITY OF COLORADO,9/22/06,8/15/06,8/14/09,AWARDED,NO,2010JGRF..115.3023L,"http://labs.adsabs.harvard.edu/adsabs/api/record/2010JGRF..115.3023L?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",InSAR measurements of surface deformation over permafrost on the North Slope of Alaska,Journal of Geophysical Research (Earth Surface),"Liu, Lin; Zhang, Tingjun; Wahr, John",PI in authors,REFEREED; ARTICLE,Cryosphere: Permafrost (0475); Cryosphere: Active layer; Geodesy and Gravity: Satellite geodesy: results (6929; 7215; 7230; 7240); Geodesy and Gravity: Non-tectonic deformation; permafrost; active layer; InSAR
4200167786,NNX06AE65G,HQ,IMPACTS OF SOIL FREEZE/THAW DYNAMICS ON THE NORTH AMERICAN CARBON CYCLE,TINGJUN ZHANG,DIANE WICKLAND,REGENTS OF THE UNIVERSITY OF COLORADO,9/22/06,8/15/06,8/14/09,AWARDED,NO,2010JGRG..115.0H05S,"http://labs.adsabs.harvard.edu/adsabs/api/record/2010JGRG..115.0H05S?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",A model-data intercomparison of CO<SUB>2</SUB> exchange across North America: Results from the North American Carbon Program site synthesis,Journal of Geophysical Research (Biogeosciences),"Schwalm, Christopher R.; Williams, Christopher A.; Schaefer, Kevin; Anderson, Ryan; Arain, M. Altaf; Baker, Ian; Barr, Alan; Black, T. Andrew; Chen, Guangsheng; Chen, Jing Ming; Ciais, Philippe; Davis, Kenneth J.; Desai, Ankur; Dietze, Michael; Dragoni, Danilo; Fischer, Marc L.; Flanagan, Lawrence B.; Grant, Robert; Gu, Lianhong; Hollinger, David; Izaurralde, R. C&#233;Sar; Kucharik, Chris; Lafleur, Peter; Law, Beverly E.; Li, Longhui; Li, Zhengpeng; Liu, Shuguang; Lokupitiya, Erandathie; Luo, Yiqi; Ma, Siyan; Margolis, Hank; Matamala, Roser; McCaughey, Harry; Monson, Russell K.; Oechel, Walter C.; Peng, Changhui; Poulter, Benjamin; Price, David T.; Riciutto, Dan M.; Riley, William; Sahoo, Alok Kumar; Sprintsin, Michael; Sun, Jianfeng; Tian, Hanqin; Tonitto, Christina; Verbeeck, Hans; Verma, Shashi B.",PI not found,REFEREED; ARTICLE,methods numerical; carbon; carbon; Biogeosciences: Biogeochemical cycles; processes; and modeling (0412; 0793; 1615; 4805; 4912); Biogeosciences: Carbon cycling (4806); Global Change: Earth system modeling (1225); Computational Geophysics: Model verification and validation; Geographic Location: North America; carbon modeling; ecosystem models; model validation; carbon exchange; drought; North American Carbon Program; methods numerical; carbon; carbon
4200167786,NNX06AE65G,HQ,IMPACTS OF SOIL FREEZE/THAW DYNAMICS ON THE NORTH AMERICAN CARBON CYCLE,TINGJUN ZHANG,DIANE WICKLAND,REGENTS OF THE UNIVERSITY OF COLORADO,9/22/06,8/15/06,8/14/09,AWARDED,NO,2009JGRF..114.2021S,"http://labs.adsabs.harvard.edu/adsabs/api/record/2009JGRF..114.2021S?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Improving simulated soil temperatures and soil freeze/thaw at high-latitude regions in the Simple Biosphere/Carnegie-Ames-Stanford Approach model,Journal of Geophysical Research (Earth Surface),"Schaefer, Kevin; Zhang, Tingjun; Slater, Andrew G.; Lu, Lixin; Etringer, Andrew; Baker, Ian",PI in authors,REFEREED; ARTICLE,models; models; Biogeosciences: Permafrost; cryosphere; and high-latitude processes (0702; 0716); Cryosphere: Snow (1827; 1863); Cryosphere: Thermodynamics (1011; 3611; 8411); Cryosphere: Biogeochemistry (0412; 0414; 1615; 4805; 4912); Cryosphere: Modeling; soil temperature; snow; model
4200167786,NNX06AE65G,HQ,IMPACTS OF SOIL FREEZE/THAW DYNAMICS ON THE NORTH AMERICAN CARBON CYCLE,TINGJUN ZHANG,DIANE WICKLAND,REGENTS OF THE UNIVERSITY OF COLORADO,9/22/06,8/15/06,8/14/09,AWARDED,NO,2008JGRD..11321115G,"http://labs.adsabs.harvard.edu/adsabs/api/record/2008JGRD..11321115G?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Global monthly averaged CO<SUB>2</SUB> fluxes recovered using a geostatistical inverse modeling approach: 2. Results including auxiliary environmental data,Journal of Geophysical Research (Atmospheres),"Gourdji, Sharon M.; Mueller, Kim L.; Schaefer, Kevin; Michalak, Anna M.",PI not found,REFEREED; ARTICLE,atmosphere; Biogeosciences: Carbon cycling (4806); Biogeosciences: Biosphere/atmosphere interactions (0315); Mathematical Geophysics: Spatial analysis (0500); Atmospheric Composition and Structure: Constituent sources and sinks; Global Change: Biogeochemical cycles; processes; and modeling (0412; 0414; 0793; 4805; 4912); CO<SUB>2</SUB> flux estimation; geostatistical inversion; remote sensing; atmosphere
4200167786,NNX06AE65G,HQ,IMPACTS OF SOIL FREEZE/THAW DYNAMICS ON THE NORTH AMERICAN CARBON CYCLE,TINGJUN ZHANG,DIANE WICKLAND,REGENTS OF THE UNIVERSITY OF COLORADO,9/22/06,8/15/06,8/14/09,AWARDED,NO,2008JGRG..113.3034S,"http://labs.adsabs.harvard.edu/adsabs/api/record/2008JGRG..113.3034S?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Combined Simple Biosphere/Carnegie-Ames-Stanford Approach terrestrial carbon cycle model,Journal of Geophysical Research (Biogeosciences),"Schaefer, Kevin; Collatz, G. James; Tans, Pieter; Denning, A. Scott; Baker, Ian; Berry, Joe; Prihodko, Lara; Suits, Neil; Philpott, Andrew",PI not found,REFEREED; ARTICLE,carbon; carbon; Biogeosciences: Biogeochemical cycles; processes; and modeling (0412; 0793; 1615; 4805; 4912); Biogeosciences: Carbon cycling (4806); Biogeosciences: Biosphere/atmosphere interactions (0315); Global Change: Land/atmosphere interactions (1218; 1843; 3322); Biogeosciences: Modeling; carbon cycle model; Simple Biosphere model; CASA model; biogeochemistry
4200166810,NNX06AF09G,HQ,INVESTIGATION OF MICROCLIMATIC CHANGES ASSOCIATED WITH TROPICAL FOREST FRAGMENTATION USING REMOTE,UDAYSANKAR NAIR,MING-YING WEI,UNIVERSITY OF ALABLAMA-HUNTSVILLE,9/23/06,8/1/06,7/31/09,AWARDED,NO,2011JGRD..116.3110F,"http://labs.adsabs.harvard.edu/adsabs/api/record/2011JGRD..116.3110F?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Land use change impacts on regional climate over Kilimanjaro,Journal of Geophysical Research (Atmospheres),"Fairman, Jonathan G.; Nair, Udaysankar S.; Christopher, Sundar A.; M&#246;Lg, Thomas",PI in authors,REFEREED; ARTICLE,atmosphere; atmosphere; atmosphere; atmosphere; Atmospheric Processes: Land/atmosphere interactions (1218; 1631; 1843; 4301); Atmospheric Processes: Regional modeling (4316); Global Change: Land cover change; land use change; mountain meteorology; Kilimanjaro
4200166769,NNX06AE24G,HQ,"INTERACTIONS BETWEEN MICROPHYSICS, RADIATION AND DYNAMICS IN TERRESTRIAL CIRRUS",TIMOTHY GARRETT,MING-YING WEI,UNIVERSITY OF UTAH,9/25/06,8/1/06,7/31/09,AWARDED,NO,2007ACPD....7.1295G,"http://labs.adsabs.harvard.edu/adsabs/api/record/2007ACPD....7.1295G?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Observing cirrus halos to constrain in-situ measurements of ice crystal size,Atmospheric Chemistry & Physics Discussions,"Garrett, T. J.; Kimball, M. B.; Mace, G. G.; Baumgardner, D. G.",PI in authors,OPENACCESS; REFEREED; PUB_OPENACCESS; ARTICLE,no keywords
4200168270,NNX06AG86G,GSFC,RELATIONS BETWEEN HIGH-ENERGY AND LOER-FREQUENCY EMISSION IN BLAZARS,ALAN MARSCHER,JEAN SWANK,BOSTON UNIVERSITY,9/25/06,8/7/06,8/6/07,AWARDED,NO,2009AAS...21344607O,"http://labs.adsabs.harvard.edu/adsabs/api/record/2009AAS...21344607O?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Optical Monitoring of a Sample of Gamma-ray Blazars at the Maria Mitchell Observatory,American Astronomical Society Meeting Abstracts #213,"Olmstead, Alice; Jorstad, S. G.; Marscher, A. P.; Walker, G.; Strelnitski, V.; Larionov, V. M.",PI in authors,NONARTICLE; NOT REFEREED; ABSTRACT,no keywords
