PR Number,Grant Number,Pgrp / Center,Proposal Title,PI Name,Technical Officer,Institution,Award Date,Performance Start Date,Performance End Date,Status,Congressional Directed Item,"[{u'bibcode': u'2013IJAEO..23..192K'}, {u'bibcode': u'2013IJAEO..23..213J'}, {u'bibcode': u'2013IJAEO..23..245D'}, {u'bibcode': u'2013IJAEO..23..334R'}, {u'bibcode': u'2013IJAEO..23..132A'}, {u'bibcode': u'2013IJAEO..23..142S'}, {u'bibcode': u'2013NewA...22...22C'}, {u'bibcode': u'2013NewA...22...51U'}, {u'bibcode': u'2013CNSNS..18.1939L'}, {u'bibcode': u'2013CNSNS..18.1970M'}, {u'bibcode': u'2013CNSNS..18.2066Z'}, {u'bibcode': u'2013CNSNS..18.2177P'}, {u'bibcode': u'2013CNSNS..18.2188T'}, {u'bibcode': u'2013CNSNS..18.2222Z'}, {u'bibcode': u'2013NewA...21...27L'}, {u'bibcode': u'2013NewA...21...40L'}, {u'bibcode': u'2013NewA...21...50K'}, {u'bibcode': u'2013CNSNS..18.1568S'}, {u'bibcode': u'2013CNSNS..18.1623R'}, {u'bibcode': u'2013CNSNS..18.1652F'}]"
4200156127,NNX06AB19G,HQ,COUPLED-PROCESS SIMULATIONS TO ASSESS THE DISTRIBUTION OF GROUNDWATER ON MARS,SCOTT PAINTER,MARILYN M. LINDSTROM,SOUTHWEST RESEARCH INSTITUTE,5/31/06,5/10/06,5/9/09,AWARDED,NO,"[{u'bibcode': u'2010LPI....41.1329G'}, {u'bibcode': u'2007AGUFM.H53F1497P'}, {u'bibcode': u'2007LPICo1353.3272P'}]"
4200155943,NNX06AB23G,HQ,FORMATION OF MAGNETIC MINERALS ON MARS,JANICE BISHOP,MARILYN LINDSTROM,SETI INSTITUTE,6/2/06,6/1/06,5/31/09,AWARDED,NO,[{u'bibcode': u'2009LPI....40.2209D'}]
4200156265,NNX06AB65G,HQ,"IMPACT CRATERING ON MARS: HYDROTHERMAL SYSTEMS, EJECTA AND RAMPARTS",ELISABETTA PIERAZZO,MARILYN LINDSTROM,PLANETARY SCIENCE INSTITUTE,6/2/06,5/15/06,5/14/09,AWARDED,NO,"[{u'bibcode': u'2011M&PS...46..601I'}, {u'bibcode': u'2011LPI....42.2661C'}, {u'bibcode': u'2011LPI....42.1608L'}, {u'bibcode': u'2010LPI....41.1460C'}, {u'bibcode': u'2008LPI....39.1155P'}, {u'bibcode': u'2007LPICo1353.3236I'}, {u'bibcode': u'2007LPI....38.2011G'}]"
4200154249,NNX06AB69G,GSFC,NUMERICAL SIMULATIONS OF AFTERGLOW DYNAMICS,MITCHELL BEGELMAN,FRANCIS MARSHALL,UNIVERSITY OF COLORADO,6/5/06,6/1/06,5/31/07,AWARDED,NO,"[{u'bibcode': u'2008AIPC.1000..439L'}, {u'bibcode': u'2007AIPC..924...82L'}, {u'bibcode': u'2007RSPTA.365.1141L'}, {u'bibcode': u'2006NCimB.121.1177L'}]"
4200158005,NNX06AB73G,GSFC,UV TEST & EVALUATION ASSISTANCE FOR GODDARD SPACE FLIGHT CENTER,CHARLES JOSEPH,CARL STAHLE,RUTGERS UNIVERSITY,6/5/06,5/24/06,5/23/07,AWARDED,NO,no hits,"[{u'bibcode': u'2008AIPC.1000..439L'}, {u'bibcode': u'2007AIPC..924...82L'}, {u'bibcode': u'2007RSPTA.365.1141L'}, {u'bibcode': u'2006NCimB.121.1177L'}]"
4200158816,NNX06AC04G,HQ,DAYTIME MULTIWAVELENGTH GROUND BASED OPTICAL INVESTIGATIONS OF PRECURSORS TO LOW-LATITUDE PLASMA IRR,DUGGIRALA PALLAMRAJU,MADHULIKA GUHATHAKURTA,TRUSTEES OF BOSTON UNIVERSITY,6/5/06,5/24/06,5/23/09,AWARDED,NO,[{u'bibcode': u'2011AGUFMSA13B1890C'}]
4200158819,NNX06AC06G,HQ,SOLAR INDUCED VARIATIONS OF STRATOSPHERIC,LON HOOD,MADHULIKA GUHATHAKURTA,UNIVERSITY OF ARIZONA,6/5/06,5/25/06,5/24/09,AWARDED,NO,[{u'bibcode': u'2010JGRD..11511113H'}]
4200159171,NNX06AC18G,HQ,THE GREEN BANK SOLAR RADIO BURST SPECTROMETER: A RESOURCE FOR LWS STUDIES,STEPHEN WHITE,MADHULIKA GUHATHAKURTA,UNIVERSITY OF MARYLAND,6/5/06,5/24/06,6/23/09,AWARDED,NO,"[{u'bibcode': u'2009IAUS..259..185L'}, {u'bibcode': u'2009A&A...497..273L'}]"
4200159972,NNX06AC58G,GSFC,PRE-COLLEGE MINORITY ENGINEERING PROGRAM,RICHARD BEALL,TERRI PATTERSON,CAPITOL COLLEGE,6/5/06,6/25/06,8/4/06,AWARDED,NO,no hits,"[{u'bibcode': u'2009IAUS..259..185L'}, {u'bibcode': u'2009A&A...497..273L'}]"
4200156876,NNX06AC64G,HQ,STUDIES OF MARTIAN AEOLIAN GEOLOGY,RONALD GREELEY,STEVE SAUNDERS,ARIZONA STATE UNIVERSITY,6/5/06,5/4/06,5/3/09,AWARDED,NO,no hits,"[{u'bibcode': u'2009IAUS..259..185L'}, {u'bibcode': u'2009A&A...497..273L'}]"
